                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.62988,                0.65011,                  1.112,                0.92208,                0.81412,                0.90069,                0.74453,                0.66847,                 0.5886,                 1.2626,              0.0065845,              0.0065845,              0.0065845
                     71,                0.61289,                0.65061,                 1.1013,                0.90632,                0.81953,                0.89284,                0.73175,                 0.6831,                0.61339,                 1.2749,               0.006535,               0.006535,               0.006535
                     72,                0.62808,                 0.6394,                 1.1092,                0.87704,                0.83914,                0.88635,                0.72809,                0.68623,                0.62183,                 1.2771,              0.0064855,              0.0064855,              0.0064855
                     73,                0.63252,                0.65378,                 1.1118,                0.91466,                0.83882,                0.88995,                 0.7332,                0.66671,                0.61958,                 1.2616,               0.006436,               0.006436,               0.006436
                     74,                0.61962,                0.65335,                 1.1098,                0.92594,                0.80903,                0.89388,                0.73606,                0.69156,                0.61635,                 1.2863,              0.0063865,              0.0063865,              0.0063865
                     75,                0.60475,                0.63079,                 1.0922,                0.91526,                0.82594,                0.89307,                0.74128,                0.66496,                0.59606,                 1.2642,               0.006337,               0.006337,               0.006337
                     76,                0.61227,                0.64035,                 1.1025,                 0.9138,                0.82235,                0.89329,                0.74834,                 0.6692,                0.57585,                 1.2811,              0.0062875,              0.0062875,              0.0062875
                     77,                0.61261,                0.62713,                 1.0964,                0.88498,                0.85529,                0.89795,                0.72982,                0.69664,                0.58928,                 1.2938,               0.006238,               0.006238,               0.006238
                     78,                0.62199,                 0.6376,                 1.1089,                0.92501,                0.84171,                0.89815,                0.74551,                0.66683,                0.57914,                 1.2727,              0.0061885,              0.0061885,              0.0061885
                     79,                 0.6178,                0.63407,                 1.1079,                0.91507,                   0.82,                0.89309,                0.73915,                 0.6802,                0.60602,                 1.2694,               0.006139,               0.006139,               0.006139
